timestamp,seq,rssi,snr
2026-09-04T18:00:00.000Z,0,-45,8.5
2026-09-04T18:00:00.100Z,1,-46,8.4
2026-09-04T18:00:00.200Z,2,-47,8.3
2026-09-04T18:00:00.300Z,3,-48,8.2
2026-09-04T18:00:00.400Z,4,-49,8.1
2026-09-04T18:00:00.500Z,5,-45,8.0
2026-09-04T18:00:00.600Z,6,-46,7.9
2026-09-04T18:00:00.700Z,7,-47,8.5
2026-09-04T18:00:00.800Z,8,-48,8.4
2026-09-04T18:00:00.900Z,9,-49,8.3
2026-09-04T18:00:01.000Z,10,-45,8.2
2026-09-04T18:00:01.100Z,11,-46,8.1
2026-09-04T18:00:01.200Z,12,-47,8.0
2026-09-04T18:00:01.300Z,13,-48,7.9
2026-09-04T18:00:01.400Z,14,-49,8.5
2026-09-04T18:00:01.500Z,15,-45,8.4
2026-09-04T18:00:01.600Z,16,-46,8.3
2026-09-04T18:00:01.700Z,17,-47,8.2
2026-09-04T18:00:01.800Z,18,-48,8.1
2026-09-04T18:00:01.900Z,19,-49,8.0
